labels,ed,pd,fc,tri
0m,0.026470588235294114,0.055882352941176466,-0.36764705882352944,-0.43823529411764706
0.1m,0.1411764705882353,0.21764705882352942,-0.38235294117647056,-0.42647058823529405
1m,0.3647058823529412,0.3323529411764706,-0.38823529411764707,-0.19411764705882353
2m,0.3205882352941176,0.3264705882352941,-0.38823529411764707,-0.10294117647058823
