PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
41,3913,23.017,0,0.728085867620751,0.368515205724508,9.68956580628674,13.3132133567663,-1.38489884006034,-0.121682730352289,0.743975543695085,0.36292862909705,12.0764730879109,14.1625991974928,0,0.0234000000000001,4.5596,8.1124,10.74,12.9142,14.8446,17.0888,19.0858,19.9332,21.101,7.05483592693864,0.727319192435472,0.698441093789931,0.635318170201891,0.564784053156146,0.45514950166113,0.353181702018911,0.247124968055201,0.14030155890621,0.0178890876565295,4.10556363194992,-0.0643745180058119,-0.25901555420803,0.423709763061433,-0.0156798246907788,-0.0630889148063239,257.392100378777
186,5103,23.253,0,0.702527924750147,0.334313149127964,9.05508073682148,12.879067001675,-1.40147404870951,0.0284564647808252,0.796938680123217,0.389085254018543,11.5784240846477,13.8193353446723,0,0.0364000000000001,2.8076,6.4776,9.664,12.0034,14.4298,16.393,18.6794,20.0839,21.45282,6.36144707848423,0.701940035273369,0.665686850872036,0.584558103076622,0.513227513227513,0.415049970605526,0.320987654320988,0.206741132667059,0.101704879482657,0.0244953948657652,4.11004369840171,0.140230256562679,-0.291460539491203,0.453893655711834,0.0341189210755133,-0.0709142191370239,229.279949659744
203,3529,23.53,0,0.607537546047039,0.393029186738453,7.26104987248512,11.93723845077,-1.21096502350206,0.420709616545667,0.971863040574426,0.429676799258775,10.1245443586977,12.9920595147179,0,0,0.042,3.534,6.251,8.8576,11.8892,14.798,17.864,19.5502,21.31004,4.41136042125478,0.607254179654293,0.565882686313403,0.471238311136299,0.383394729385095,0.304335505809011,0.225843015018419,0.141116463587419,0.0714083309719467,0.0113346557098328,3.93488144698703,0.692305414075765,-0.267739459569046,0.541916322858184,0.175940602888015,-0.0680425733725869,133.277989946181
332,3982,20.57,0,0.44952285283777,0.489703666499247,4.6795120542441,10.5385223967423,-0.702523329302021,0.867756249928022,1.24834403303865,0.404684743396821,7.48425228754458,11.368298704492,0,0,0,0,1.1285,3.9882,7.8321,11.1264,14.2724,15.89,18.20217,2.10354760851254,0.44776494224008,0.39728779507785,0.355851330989453,0.2850326469111,0.221747865394274,0.162481165243596,0.0951783023606228,0.0396785534907082,0.00853842290306379,3.05225990285852,1.07002086269073,-0.0454364990779685,0.652260292841912,0.350566759301406,-0.0148861828690984,82.2887743368122
687,2864,29.169,0,0.754189944134078,0.424231843575419,10.9834633379888,14.5554106481481,-1.18466328594883,-0.14071579960156,0.709923891540255,0.368021437559082,13.4690401999871,15.5093830760757,0,0.0272,5.7718,9.7858,12.402,14.4414,16.209,18.2132,20.6392,22.2371,25.70553,8.28361760127649,0.752094972067039,0.697276536312849,0.631284916201117,0.525837988826816,0.392458100558659,0.230446927374302,0.108938547486034,0.0275837988826816,0.00837988826815642,4.43487065456108,-0.127097286591576,-0.0942914237595255,0.40377707086453,-0.028658623101186,-0.0212613695198868,127.591236490403
702,2455,25.267,0,0.390224032586558,0.627291242362525,5.50702892057026,14.0894952978056,-0.5745628406144,0.989426261325683,1.39830769731385,0.397446179613593,9.46579294769946,15.1604436262816,0,0,0,0,0.042,0.197,9.2372,13.905,18.6778,20.7443,23.3251,2.14897503295573,0.389816700610998,0.363747454175153,0.329938900203666,0.283910386965377,0.232179226069246,0.176374745417515,0.118940936863544,0.065173116089613,0.0162932790224033,3.84490600656977,1.62380928890161,0.0896469077256387,0.698181553434009,0.422327434305812,0.0233157605341872,153.598473366709
739,4321,26.236,0,0.671140939597315,0.350613283962046,9.42903934274474,14.0455888850535,-1.45536476260366,0.0732542382259086,0.84024604671413,0.382954560401288,12.3150979747805,15.0399571095382,0,0,0.116,6.036,10.28,12.791,15.384,17.684,20.012,21.26,23.1862,6.32821432398976,0.670446655866698,0.617912520249942,0.564684100902569,0.492015737097894,0.389724600786855,0.28373061791252,0.17171950937283,0.0613283962045823,0.00740569312659107,4.48582051383425,0.250609343574792,-0.402674374710845,0.475745232443632,0.0558670019903636,-0.0897660469180608,148.565709313846
763,4203,32.858,0,0.70378301213419,0.315726861765406,13.3837684986914,18.9994715832206,-1.37225519418448,-0.137894431226267,0.760727442515463,0.337288114674609,16.8155137076794,20.0507427522468,0,0.0504000000000001,3.4964,12.2718,15.986,18.3536,20.4154,22.5952,26.1438,28.6817,30.95072,9.41926890771573,0.701879609802522,0.671663097787295,0.632167499405187,0.585058291696407,0.47799191054009,0.336902212705211,0.182726623840114,0.0958838924577683,0.0316440637639781,5.74434645025318,-0.0962386865133725,-0.330794649308434,0.429202466466364,-0.0167536354826111,-0.0575861244047796,147.86389392648601
805,2673,24.719,0,0.486344930789375,0.530864197530864,5.86838757949869,12.0460801232666,-0.768446525445425,0.804557783356559,1.21010383346997,0.451823971896672,9.21131892837824,13.2177264341424,0,0,0,0.036,0.265,6.1362,9.7398,13.4824,17.257,19.4288,22.3254,2.85406055119652,0.485970819304153,0.424616535727647,0.367003367003367,0.295548073325851,0.238309016086794,0.159371492704826,0.099139543583988,0.0448933782267116,0.0115974560419005,3.74844255792568,1.22857129876491,-0.0985791054694361,0.638751702600714,0.327755135574167,-0.026298683772278,48.3464297768106
1135,1477,0.27,0,0,1,0.0230216655382532,0,4.78870054268646,2.14837962335825,1.8881507003349,0,0.0491753732312283,0,0,0,0,0,0,0,0,0.053,0.087,0.115,0.18972,0,0.269465132024374,0.194312796208531,0.116452268111036,0.0582261340555179,0.031821259309411,0.018957345971564,0.010155721056195,0.004062288422478,0.002031144211239,0.0183797514921662,0.011320953201956,0.00488092379161908,0.798367583858176,0.615947022285973,0.26555983598034,0
